Noun Type,Voice,N (blocks),HR M,HR SD,WR M,WR SD
HH,Active,329,0.8419452887537994,0.2857444012596084,0.752411575562701,0.31844223316886555
HH,Passive,329,0.8586626139817629,0.27150108672328876,0.7468152866242038,0.33971335072402026
HL,Active,329,0.8480243161094225,0.26710516681380664,0.7886435331230284,0.304705277396952
HL,Passive,329,0.8525835866261399,0.2710655574526149,0.7317460317460317,0.3294588290030913
LH,Active,329,0.837386018237082,0.2763555944069377,0.780952380952381,0.3110784317802109
LH,Passive,329,0.8419452887537994,0.2803588457020881,0.7667731629392971,0.3324078862891302
LL,Active,329,0.7857142857142857,0.30314840376263363,0.7508090614886731,0.35269048337101466
LL,Passive,329,0.7963525835866262,0.31649578610603635,0.7046204620462047,0.3720959578275124
